cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
300,46,4.1,7,1,33,8,905
301,45,3.16,7,1,33,8,906
301,43,3.8,7,1,35,9,907
300,44,3.09,7,1,37,1,908
302,44,3.4,7,1,40,14,909
301,47,3.53,7,1,39,11,910
302,46,3.75,8,1,40,14,911
301,40,3.33,8,1,35,8,912
301,54,3.48,8,1,38,16,913
300,45,3.11,8,1,34,15,914
302,44,3.57,8,2,31,13,915
434,50,3.29,8,1,36,1,916
299,43,3.2,8,1,36,13,917
301,49,4.44,6,1,35,11,918
299,48,3.42,8,1,38,9,919
301,46,3.07,8,1,36,11,920
300,44,3.46,8,1,28,10,921
314,37,3.91,8,1,39,11,922
313,43,3.06,8,1,36,8,923
313,47,3.21,8,1,30,8,924
313,48,3.79,8,1,34,8,925
314,45,3.65,8,1,32,12,926
313,44,3.56,8,1,34,9,927
314,52,3.89,9,2,33,10,928
314,55,3.72,8,1,34,11,929
311,60,3.21,8,1,33,11,930
313,57,3.81,8,1,29,9,931
314,57,3.05,9,1,32,8,932
313,54,3.21,9,1,32,9,933
313,57,3.48,8,1,33,9,934
313,56,3.16,8,1,34,14,935
313,56,3.46,8,1,31,7,936
313,58,3.56,8,1,32,13,937
312,57,3.5,8,1,35,8,938
313,59,3.85,8,1,36,9,939
314,54,3.31,7,2,32,9,940
314,55,3.44,8,2,36,8,941
314,58,4.03,8,2,31,12,942
313,57,3.47,8,2,30,13,943
313,61,3.13,8,2,31,13,944
313,58,3.93,7,1,36,8,945
287,59,3.22,7,2,36,7,946
297,59,3.85,7,2,43,9,947
111,57,3.36,7,2,34,12,948
264,56,3.31,7,2,41,6,949
319,58,3.25,7,2,34,12,950
343,56,3.47,7,2,29,6,951
321,59,3.05,7,2,38,9,952
298,57,3.78,7,1,37,7,953
280,58,3.93,7,1,35,5,954
293,55,3.19,7,2,36,8,955
281,57,3.28,7,2,24,11,956
278,59,3.82,7,2,33,7,957
312,50,3.86,7,1,44,8,958
313,50,3.49,7,1,39,6,959
323,50,3.29,7,1,43,4,960
305,50,3.87,7,1,37,5,961
285,50,3.49,7,1,26,12,962
278,46,3.7,7,0,32,5,963
294,50,3.45,7,1,31,10,964
286,50,3.89,7,1,46,11,965
282,50,3.88,6,1,36,5,966
292,50,3.36,8,1,35,8,967
303,50,3.49,7,2,36,9,968
282,50,3.65,10,1,34,11,969
385,46,3.66,7,1,27,15,970
425,50,3.46,7,1,28,13,971
403,50,3.43,8,1,27,15,972
409,50,3.36,7,1,32,15,973
405,50,3.06,7,1,28,10,974
368,50,3.96,7,1,33,13,975
369,50,3.36,7,1,28,16,976
379,50,3.99,7,1,32,10,977
353,50,4.15,7,1,28,13,978
378,50,3.45,7,1,27,12,979
415,49,3.85,10,1,32,12,980
422,50,3.98,7,1,23,12,981
332,50,3.84,7,1,29,12,982
383,50,3.89,7,1,34,11,983
370,50,3.33,7,1,35,14,984
430,50,3.56,7,1,32,13,985
333,50,3.7,8,1,32,13,986
419,50,3.27,7,1,35,13,987
311,41,3.08,7,1,27,12,988
359,43,3.67,7,1,31,14,989
354,42,3.45,7,1,37,15,990
356,43,3.79,7,1,38,16,991
356,44,3.37,8,0,35,13,992
354,42,3.33,7,1,37,15,993
362,39,3.91,8,1,39,12,994
310,44,3.41,7,2,36,10,995
375,46,3.19,9,1,38,8,996
366,44,3.65,9,1,35,13,997
385,38,3.71,9,1,36,12,998
407,44,3.51,9,1,38,11,999
348,42,3.74,9,1,34,8,1000
426,42,3.88,9,1,36,15,1001
365,45,3.73,9,2,38,11,1002
331,41,3.63,9,2,34,16,1003
346,44,3.83,9,1,34,1,1004
338,43,3.15,9,1,36,11,1005
361,41,3.3,9,1,38,12,1006
259,43,3.84,9,2,39,6,1007
322,36,4.29,9,1,37,8,1008
329,40,3.87,9,2,36,18,1009
360,40,3.96,9,1,36,10,1010
376,43,3.33,9,1,34,7,1011
343,44,3.88,9,1,41,8,1012
404,43,3.39,7,2,37,10,1013
383,42,3.13,7,2,41,12,1014
334,40,3.78,7,2,44,15,1015
350,43,3.19,7,1,32,8,1016
230,45,3.78,7,2,39,14,1017
343,47,3.62,7,2,45,11,1018
356,46,3.99,7,1,46,8,1019
338,44,4.11,7,1,46,6,1020
323,58,3.08,7,1,44,6,1021
367,43,3.89,7,1,41,10,1022
336,47,3.57,7,1,47,9,1023
354,47,3.39,7,1,44,14,1024
366,48,4.0,7,2,44,12,1025
333,45,3.79,7,1,44,8,1026
334,45,3.4,7,2,46,11,1027
360,47,3.25,7,0,40,14,1028
351,48,3.45,7,1,38,8,1029
347,50,3.64,8,1,43,6,1030
362,46,3.67,7,2,44,4,1031
314,52,3.67,8,1,42,8,1032
349,50,3.32,7,1,45,10,1033
331,47,3.83,7,2,32,16,1034
336,47,3.61,7,1,42,8,1035
324,52,3.41,7,1,46,9,1036
341,46,3.55,8,1,32,23,1037
368,45,3.39,6,1,44,12,1038
322,46,3.71,8,2,33,9,1039
318,48,3.47,8,1,36,15,1040
320,48,3.95,7,2,40,11,1041
323,48,3.73,7,2,29,14,1042
323,46,3.36,8,1,31,8,1043
322,49,3.58,8,2,37,2,1044
322,49,3.73,7,1,32,12,1045
323,39,3.24,7,1,34,11,1046
322,49,3.31,8,2,38,14,1047
322,48,3.33,8,1,37,8,1048
322,47,3.92,7,1,42,7,1049
321,47,3.52,7,1,43,15,1050
323,45,3.52,7,1,31,11,1051
324,47,3.52,8,1,36,11,1052
320,49,3.72,7,2,36,10,1053
322,43,3.12,8,1,35,11,1054
322,43,3.78,7,1,35,9,1055
320,50,3.81,7,2,28,12,1056
325,49,3.6,7,2,37,7,1057
321,47,3.38,7,1,28,15,1058
323,43,3.36,7,1,29,7,1059
322,50,3.58,8,2,30,6,1060
324,47,4.13,8,1,37,13,1061
324,48,3.51,7,2,36,12,1062
324,45,3.88,8,4,41,8,1063
323,50,4.0,7,1,35,16,1064
323,47,3.7,8,2,36,4,1065
322,46,3.69,8,1,38,12,1066
322,46,3.31,7,2,37,13,1067
