query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
59f80487-9671-4cf1-9385-fb0853da0e24,1,1,1,1,0,pushing
a0e438b6-6ecc-47bd-8e5f-34990a950183,1,1,1,1,0,talking_on_phone
d4857d5b-238d-4a46-acbf-df880967c604,1,1,1,1,0,pushing
abb280c1-3a9d-471a-9350-e7f1ca4e8795,0,1,1,1,0,sitting
093f716e-3301-4670-b092-73446d6cb876,0,0,1,1,0,looking_around
27865ddb-4273-4605-933b-489123770447,1,1,1,1,0,carrying
b98ff7ce-5374-47b1-b8be-d5df25083fa6,1,1,1,1,0,transferring_object
e58d55f0-b2c4-460e-917f-f5357b127dee,1,1,1,1,0,fall
b929d067-e587-456c-8591-97dda75dc58f,0,0,0,1,0,pulling
2a4e840a-f375-46a8-96be-698d2ec78b5c,1,1,1,1,0,picking_up
1cedaefc-74df-49af-a155-73dceb7c9b9d,1,1,1,1,0,waving_hand
c2160c23-0ec8-4a79-8f59-1834be405f39,0,0,0,1,0,standing
c9491185-1432-4b0d-ba83-2a8057465047,0,0,0,1,100,waving_hand
3fb55af7-d0a1-4034-afa8-e36ac274a053,0,0,1,1,100,standing
3ba6c8f0-d602-4348-98e9-8071c622a2e0,1,1,1,1,0,pocket_in
72837bd9-2f7e-4868-aaa2-47496e2c329d,1,1,1,1,0,entering
26f8761d-bdaa-46db-94e0-876943d5b91d,0,1,1,1,0,sitting_down
e80b4831-88a3-4724-b300-2b47b3d1a123,1,1,1,1,0,jumping
7a0aa678-8bd2-4175-91b1-a9e7de7aa442,1,1,1,1,0,pocket_out
be4702b7-cae5-404c-be9a-e692bf8b7b57,1,1,1,1,0,exiting
82f07ddb-2dcb-444c-8ad7-9ebe425e2219,1,1,1,1,0,transferring_object
1cfe8efc-1087-430e-b08c-9ca44c7f8341,1,1,1,1,0,sitting
2320117d-2113-4eb4-8c57-864643181535,1,1,1,1,0,loitering
c34ffaa7-2b6f-45f5-aae5-d223f8ca13b1,1,1,1,1,0,talking
b3f5fef5-4c46-4f3d-aba2-292bc789280a,0,0,0,0,0,18
206194dd-7ef7-4b17-afec-af4452d8e150,1,1,1,1,100,standing_up
300bf82f-f671-4e9a-8498-6b5e00983f99,1,1,1,1,0,standing_up
95dc323b-6f5f-463c-94b0-96beb71e5235,1,1,1,1,0,opening
75ddfe8d-a062-42a9-ba8d-c99b2a2ea8c9,1,1,1,1,0,carrying_heavy
befb6ff9-27f9-4a5c-bfb0-af6ee7131786,1,1,1,1,0,using_pc
ca179143-e87c-4461-9e87-892a5886a0c7,1,1,1,1,0,kicking
1131b051-b54c-40ce-8b81-82fc4b62aa20,1,1,1,1,0,carrying_light
db9037a5-618c-45b3-9cc3-e358d3db2480,0,1,1,1,0,using_phone
a06be611-5d4e-4ccf-8d4f-5a4562062a53,1,1,1,1,0,walking
56953e1b-b80f-4194-b31e-17906ee3fb19,1,1,1,1,0,crouching
7f123e89-d948-4895-88aa-9d4d558cfa69,1,1,1,1,0,pocket_in
c585138d-d22e-4a85-8989-adbaf3d5d2f9,0,1,1,1,0,sitting_down
0d5e6c1c-c488-4b44-8512-f963bcd7c6ba,1,1,1,1,0,opening
882e4013-0054-4a46-b85a-5fd586cc63ac,0,1,1,1,0,standing
c0a95dbe-ec0f-4b52-ab08-3d9a65a1cce1,1,1,1,1,0,checking_time
e525cff4-3360-4b84-9a59-f5d7f74f8d45,1,1,1,1,0,standing_up
6615466d-8f53-4bc9-8d75-bfc11cd7a520,1,1,1,1,100,walking
e6409ca9-19c0-428d-888c-92b0c84c1806,1,1,1,1,0,kicking
8a7c2d1b-efe3-4990-9ded-8ebd9bb8f40a,1,1,1,1,0,sitting_down
2116d2ec-adbf-4b06-b8e0-13fedf23d878,1,1,1,1,0,pulling
cd0fa16d-6748-42f3-82c6-899fbf76cd13,1,1,1,1,0,looking_around
97bda9e0-003f-411f-b318-9653b439dd23,0,0,0,1,0,running
40c29f8d-2020-4da0-b20b-6cd5a4469fbf,1,1,1,1,0,talking
b3eeee56-f298-4e14-88fe-a4212d18794e,1,1,1,1,0,transferring_object
50febfe0-c96c-4e88-9d16-b580fbaa21ed,0,1,1,1,0,exiting
8504dcd0-9810-4414-aaa9-a4ecfe021db0,1,1,1,1,0,talking_on_phone
343ae015-d123-4806-8265-3a951492ce81,1,1,1,1,0,pushing
e77af950-cd5e-4c20-b028-a172feab2e07,1,1,1,1,0,walking
0798792d-8dd8-4d5c-8f57-d53fa7065e95,1,1,1,1,0,picking_up
98752522-24b6-49a1-87e1-b413ce9c0925,1,1,1,1,0,sitting
233556e6-bfcb-48c6-b825-c53d97b7aaa8,0,1,1,1,0,carrying_light
b8496043-a042-4ad7-b272-5efaac8e61ef,1,1,1,1,0,fall
357384bd-35f8-4262-b7c6-dea1116d25c6,1,1,1,1,0,pointing
a556adc7-0bec-4f9d-bce0-9e72bb4bc3a9,1,1,1,1,0,setting_down
bf49dcd2-2b3f-41a3-b4fd-af237db44fcf,1,1,1,1,0,setting_down
c8cedcc8-2842-40c6-b752-b4845f8cccef,1,1,1,1,0,carrying_heavy
a6c4c96a-7b6f-4d9a-936d-9882d459c531,1,1,1,1,0,sitting
fbf52daf-5fa4-4c19-b6fe-ca90a1e7cece,1,1,1,1,0,kicking
7c4fc9f4-b590-477e-8b21-6f4a77414fb2,1,1,1,1,0,exiting
a3013e0c-a280-4720-9e04-e07450a85e9e,1,1,1,1,0,using_pc
b6e5240d-555c-47d8-af93-417d09432897,1,1,1,1,0,carrying_heavy
473de086-d93f-4bf0-aa3a-1169e4f254ab,1,1,1,1,0,using_phone
3063d09b-3993-449b-a436-bb38beebc45e,0,0,0,0,100,32
9b21b719-ac42-4d98-b357-e0ece7eda186,1,1,1,1,0,loitering
ba35068f-3c5e-40f5-9297-e38245cc98da,1,1,1,1,0,talking_on_phone
e6c4faa7-1728-4efb-848a-81787daac93e,1,1,1,1,0,drinking
13cc229c-bb37-432f-bb92-050b620ec6d3,1,1,1,1,0,using_phone
c525ec51-95a9-40c4-be8a-c5557bcf3097,1,1,1,1,0,jumping
2ae7cd21-aa8f-46d1-866e-a7ff5938267e,1,1,1,1,0,sitting_down
9d2a6966-3356-4e83-b0ed-4f4ee2e2693d,1,1,1,1,0,picking_up
d0560c9f-2e67-41d3-9e1c-898573943a9a,1,1,1,1,0,pocket_in
1be93173-0878-4ddb-8604-9532faaeab32,1,1,1,1,100,sitting_down
763cfcbb-c1a4-4ed1-819c-a39cc0ac853b,1,1,1,1,100,transferring_object
135875d2-e823-466d-948f-05f9975901d5,0,0,0,0,0,9
1f4e858f-ff78-40a6-85fb-69c67ac70fd4,1,1,1,1,0,kicking
e89d2243-2da3-4b32-905f-86531376f79d,0,1,1,1,0,looking_around
