core1,core2,core3,core4,mem,gpu,norm_ex_time
29.84,8.29,10.22,1.42,38.28,2.79,712
29.68,8.39,10.54,1.52,38.33,3.17,713
29.36,8.17,9.01,1.19,38.33,2.96,714
29.07,8.19,9.2,1.51,38.21,2.78,715
30.4,8.09,10.52,1.54,38.27,3.09,716
30.8,7.83,9.58,1.35,38.17,3.24,717
29.4,8.38,10.19,1.17,38.4,3.16,718
29.59,8.11,9.78,1.67,38.77,2.79,719
30.89,8.21,9.77,1.27,38.64,3.07,720
29.24,8.24,10.84,1.36,38.09,3.06,721
29.83,8.29,9.83,1.36,53.18,3.23,722
31.75,7.99,10.57,1.49,53.0,3.32,723
28.21,8.18,8.93,1.35,53.21,3.58,724
28.6,8.0,10.12,1.6,53.33,3.41,725
22.48,8.13,10.83,1.22,53.25,3.17,726
28.98,8.08,9.0,1.49,53.31,3.03,727
28.82,8.22,9.69,1.45,53.25,3.64,728
29.61,8.42,10.49,1.62,52.86,3.25,729
29.41,8.93,9.43,1.22,53.21,3.22,730
29.98,8.69,9.6,1.2,53.24,3.43,731
29.91,9.04,9.78,1.3,53.2,3.19,732
28.84,8.99,9.99,2.17,53.63,3.5,733
32.66,8.97,8.83,1.47,53.08,3.53,734
32.82,9.27,9.99,1.4,53.37,3.21,735
32.54,8.44,7.96,1.67,53.16,3.05,736
33.09,8.66,9.64,1.37,53.29,3.35,737
32.69,8.54,8.26,1.35,53.41,3.33,738
32.91,8.89,9.36,1.36,53.22,3.34,739
32.72,8.75,8.24,1.76,53.4,3.19,740
32.8,8.93,9.11,1.28,53.02,3.08,741
32.75,8.51,8.7,1.72,53.39,3.16,742
32.54,8.6,7.97,1.22,53.27,3.57,743
33.43,7.9,8.92,1.65,40.99,3.15,744
32.73,8.59,9.04,1.64,41.87,3.11,745
32.78,8.48,6.24,1.82,44.73,3.32,746
33.01,9.07,7.92,1.57,41.12,3.15,747
32.71,8.95,9.8,1.32,40.88,2.94,748
32.51,8.35,8.38,1.4,39.02,3.39,749
32.52,8.76,9.48,1.13,44.9,3.35,750
32.91,8.76,8.4,1.38,42.38,3.1,751
