core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
69.67,11.85,1.1,2.91,3.16,3.22,1.41,1.55,155.02,3.72,540
71.3,12.25,0.99,3.0,3.27,3.17,1.58,1.09,154.87,3.53,541
73.33,12.48,1.28,3.14,3.23,3.2,1.71,1.3,154.86,3.15,542
68.68,11.78,1.23,2.64,3.45,3.12,1.75,1.41,155.02,3.38,543
72.3,11.91,0.92,3.11,3.15,2.93,1.33,1.45,154.86,2.87,544
91.05,11.92,1.09,2.78,2.94,3.12,1.46,0.98,155.04,3.2,545
91.55,11.88,0.99,2.83,3.18,3.4,1.43,1.42,154.98,3.2,546
97.94,11.94,1.28,2.98,3.26,2.98,1.63,1.4,53.48,3.24,547
93.24,11.27,1.15,3.03,3.22,3.11,1.27,1.53,155.0,3.5,548
98.74,11.67,1.14,3.03,3.05,2.84,1.65,1.58,154.84,3.34,549
87.59,12.47,1.13,2.77,3.33,3.27,1.64,1.1,155.14,3.45,550
105.42,12.08,1.34,2.49,2.98,3.52,1.36,1.3,155.06,3.45,551
89.74,12.77,1.24,3.16,3.12,2.92,1.55,1.34,154.91,3.19,552
100.15,12.62,1.22,3.14,2.95,3.31,1.44,1.5,155.02,3.32,553
94.1,12.56,1.52,2.83,3.3,2.99,1.27,1.13,155.01,3.26,554
102.86,13.0,1.48,2.65,2.81,3.17,1.23,1.66,155.06,3.28,555
92.7,12.35,1.42,2.46,3.02,3.79,1.31,1.01,171.0,3.55,556
95.9,13.07,1.41,2.51,3.19,3.71,1.42,1.38,172.37,3.55,557
96.93,12.87,1.13,2.5,3.03,3.73,1.68,1.38,172.91,3.41,558
100.11,12.82,1.52,2.46,2.92,3.5,1.33,1.45,170.65,3.42,559
103.26,12.73,1.31,2.87,3.01,4.09,1.54,1.61,171.09,3.41,560
93.95,12.75,1.31,2.06,3.07,3.29,1.15,1.59,174.03,2.51,561
90.99,12.94,1.33,2.41,3.31,3.59,1.36,1.79,174.22,3.34,562
97.23,12.46,1.76,2.32,2.76,3.39,1.15,1.79,174.06,3.27,563
107.07,12.59,1.06,2.4,2.65,3.64,1.7,1.76,173.07,3.2,564
104.73,13.18,1.45,2.85,2.8,3.82,1.46,1.53,173.27,3.22,565
98.98,12.71,1.16,2.62,2.77,3.46,1.32,1.88,173.32,3.81,566
95.25,12.51,2.87,2.52,2.79,3.92,1.03,1.31,173.35,3.78,567
98.53,12.74,1.37,2.35,2.7,3.79,1.25,1.32,173.82,3.63,568
102.86,12.53,1.35,2.28,2.8,4.07,1.33,1.29,174.19,3.7,569
95.64,12.78,1.48,2.29,2.96,3.91,1.6,1.39,173.35,3.87,570
91.61,12.76,1.3,2.69,2.79,3.89,1.27,1.67,172.36,3.47,571
80.37,12.78,1.45,2.94,2.87,3.65,1.09,1.47,172.65,3.55,572
75.44,12.57,1.33,2.6,2.72,3.7,1.39,1.76,172.98,4.02,573
79.18,12.72,1.61,2.61,2.97,3.6,1.3,1.56,173.51,3.71,574
80.09,12.5,1.54,2.36,2.83,3.56,0.66,0.43,172.08,3.26,575
81.74,12.93,1.13,2.73,3.01,3.31,1.2,1.72,172.31,3.8,576
82.88,13.04,1.2,2.59,2.39,3.99,1.06,1.64,174.47,3.94,577
80.21,12.97,1.75,2.78,2.96,3.83,1.22,1.43,171.18,3.93,578
77.0,12.63,1.45,2.82,2.91,3.56,1.04,1.34,173.4,3.61,579
79.9,12.49,1.29,2.62,2.8,3.68,0.83,1.6,171.79,3.55,580
82.49,12.73,1.51,2.83,2.69,3.51,1.38,1.36,168.1,3.92,581
82.85,12.29,1.17,2.54,2.7,4.38,0.7,1.78,172.21,3.25,582
80.8,12.28,1.41,2.57,2.77,4.65,1.31,1.26,164.44,3.47,583
79.55,12.46,1.15,2.71,2.73,3.85,1.89,1.39,164.26,4.11,584
80.65,15.27,1.4,2.81,2.75,3.83,1.21,1.48,164.8,3.68,585
79.77,12.12,1.24,2.77,2.39,4.05,1.02,1.75,167.09,3.77,586
76.91,12.5,1.28,2.79,3.34,4.31,2.32,1.63,171.36,3.61,587
80.05,12.16,1.17,3.04,2.91,3.91,1.32,1.71,165.38,3.78,588
81.25,12.56,1.31,2.5,2.9,4.28,1.07,1.38,168.63,3.63,589
82.39,12.39,0.91,2.7,2.74,3.8,0.97,1.54,166.77,2.11,590
78.88,12.76,1.02,2.73,3.51,4.21,1.12,1.61,162.27,3.4,591
77.19,12.31,1.44,2.86,3.6,3.92,1.04,1.7,164.52,3.54,592
78.94,12.19,0.69,2.61,2.7,4.03,1.32,1.45,166.99,3.76,593
77.21,12.48,0.96,2.72,3.08,4.02,1.08,0.76,161.61,3.78,594
78.67,12.36,1.03,2.64,3.04,4.25,1.61,0.99,162.53,3.5,595
77.3,12.26,1.3,2.81,3.17,3.73,1.7,1.0,162.98,3.44,596
79.73,12.33,1.17,2.91,3.32,4.58,1.58,0.73,163.82,3.6,597
79.3,12.6,1.02,2.46,3.38,4.05,1.46,1.16,161.7,3.54,598
93.72,12.61,1.23,2.62,3.07,4.48,1.52,1.05,167.14,3.59,599
94.78,12.38,1.13,2.73,3.03,4.3,1.57,1.2,168.07,3.58,600
94.39,12.09,1.31,2.42,3.07,4.14,1.62,1.07,166.11,4.06,601
90.53,12.08,1.26,2.25,3.26,3.74,1.49,1.52,162.16,3.49,602
82.91,12.17,1.39,2.39,3.09,3.97,1.26,1.02,166.54,3.72,603
86.46,12.58,1.04,1.78,2.61,3.78,1.29,1.68,166.98,3.9,604
93.06,12.25,1.34,2.26,3.34,3.7,1.49,1.0,168.58,3.62,605
86.45,12.01,1.18,2.5,3.34,3.24,1.26,1.05,159.48,3.72,606
87.63,12.36,1.03,2.48,2.52,3.35,1.62,1.05,155.16,3.67,607
85.96,11.2,1.24,2.41,2.21,3.56,1.27,1.08,162.5,3.54,608
68.95,11.04,0.8,2.37,3.07,3.31,1.73,1.09,158.81,3.7,609
105.4,11.43,1.25,2.68,3.02,3.74,1.36,0.93,159.03,3.65,610
92.13,11.5,0.92,2.53,2.72,3.28,1.53,0.63,153.44,3.85,611
97.79,11.37,1.24,2.56,2.82,3.39,1.51,0.56,149.17,3.7,612
113.8,11.17,0.95,2.37,2.64,3.5,1.42,0.96,156.09,3.56,613
75.9,11.21,1.28,2.6,2.73,3.36,1.8,0.93,160.09,3.85,614
86.43,11.48,1.53,2.76,2.65,3.58,1.71,1.02,161.08,3.73,615
74.53,11.65,1.14,2.37,2.71,3.39,1.3,1.17,157.11,3.88,616
95.71,11.33,0.89,2.48,2.79,3.28,1.17,1.11,209.24,3.6,617
89.13,11.07,1.43,2.56,2.68,3.46,1.06,1.17,159.19,3.6,618
67.36,11.33,1.29,2.38,2.9,3.23,1.49,0.66,154.44,3.86,619
82.56,11.23,1.29,3.96,2.9,3.28,1.11,0.89,149.74,3.75,620
99.5,11.21,1.38,2.57,2.95,3.71,1.39,0.96,154.46,3.81,621
90.47,11.31,1.11,2.6,2.89,3.37,1.13,0.87,157.84,3.84,622
79.61,9.07,0.84,3.09,2.63,3.44,1.21,1.19,155.59,4.07,623
84.0,11.23,1.24,2.62,2.94,3.42,1.43,1.13,159.11,3.55,624
85.67,11.4,1.26,2.89,3.05,3.34,1.08,1.24,155.05,3.49,625
71.26,11.78,1.46,2.69,3.16,3.57,1.18,0.94,157.35,4.16,626
71.26,11.2,1.55,2.41,2.71,3.15,1.26,1.15,159.39,4.78,627
71.12,11.45,0.91,2.59,2.59,3.22,1.14,1.09,157.49,3.94,628
71.4,11.62,1.38,2.79,2.83,3.15,1.39,1.7,156.98,3.46,629
73.9,11.18,1.23,3.14,3.04,3.37,1.44,1.5,155.91,3.95,630
85.03,13.72,1.13,2.61,2.83,3.91,1.12,1.41,170.26,3.25,631
70.98,11.18,1.29,2.88,2.82,3.85,1.03,1.28,170.67,3.59,632
71.43,11.21,1.2,2.85,3.18,3.31,1.11,1.65,172.15,3.97,633
71.41,11.13,1.37,2.64,3.0,3.92,1.16,1.49,170.62,4.15,634
71.25,7.25,1.55,2.76,2.97,3.52,1.12,1.28,172.14,3.73,635
71.08,13.55,1.16,2.79,3.05,3.97,1.58,1.25,175.32,3.52,636
71.28,16.37,1.29,2.64,3.19,3.71,1.77,1.44,174.69,3.58,637
71.05,13.62,0.92,2.51,3.27,3.72,2.05,1.63,176.85,4.09,638
71.09,13.58,1.02,2.74,3.31,3.71,2.63,1.54,171.1,2.87,639
70.97,13.57,1.25,2.64,3.1,2.96,1.39,1.14,177.64,3.76,640
71.47,13.6,1.25,2.85,2.92,3.58,1.7,1.48,171.13,3.89,641
71.07,13.69,1.3,2.2,2.75,3.68,1.96,1.68,171.55,2.9,642
71.2,13.72,1.15,2.61,3.32,3.71,1.65,2.21,171.91,4.14,643
71.58,13.59,1.42,2.39,3.03,3.89,1.7,1.43,169.75,4.05,644
71.0,13.74,1.39,2.42,3.04,3.98,1.9,1.23,174.09,4.11,645
71.11,13.56,1.22,2.6,3.05,3.67,1.51,1.28,167.38,3.35,646
84.14,13.75,0.85,2.17,3.26,3.58,1.71,1.52,175.39,3.82,647
71.06,13.34,1.25,2.67,2.95,3.87,1.85,1.61,176.26,3.29,648
71.26,13.76,1.1,2.38,3.06,3.78,1.7,1.12,179.34,3.19,649
71.1,13.47,1.15,2.38,2.86,3.74,1.84,1.57,172.41,4.02,650
71.32,13.47,1.08,2.62,3.24,3.8,1.44,1.58,172.81,4.25,651
71.31,13.66,1.32,2.42,2.83,3.67,1.7,1.6,168.37,3.34,652
91.24,13.64,1.39,2.46,3.1,3.73,1.65,1.32,173.61,4.21,653
89.77,13.59,1.34,2.87,2.61,3.77,1.89,1.59,172.81,3.55,654
93.59,13.65,1.58,2.72,2.8,3.45,1.8,1.34,171.08,3.24,655
86.98,13.48,1.4,2.74,2.62,2.97,1.61,1.62,178.52,4.09,656
92.88,13.67,1.35,2.75,2.73,2.88,1.37,1.46,168.29,4.15,657
104.51,13.52,1.27,2.5,2.78,2.7,1.64,1.38,171.23,4.35,658
