core1,core2,core3,core4,mem,gpu,norm_ex_time
68.93,12.82,1.5,2.86,119.46,4.18,713
72.35,12.96,1.49,2.65,119.36,4.23,714
72.62,11.61,1.47,1.13,120.24,4.27,715
67.56,13.13,1.41,2.52,120.36,4.3,716
74.01,13.01,1.68,2.57,118.72,4.12,717
65.98,12.89,1.89,2.67,119.4,4.02,718
72.69,13.15,1.24,2.58,120.07,4.11,719
67.08,13.08,1.24,2.31,120.35,4.47,720
69.65,12.76,1.73,2.19,119.19,3.81,721
68.76,12.97,1.55,2.54,120.0,3.62,722
71.08,13.01,1.37,3.23,119.11,3.99,723
68.41,12.71,1.27,2.62,119.26,2.96,724
69.77,9.44,1.41,2.43,120.6,3.61,725
70.99,13.71,1.46,2.62,111.71,3.71,726
69.89,13.63,1.58,2.46,114.74,3.82,727
72.52,14.06,0.75,2.56,105.11,3.92,728
70.59,13.83,1.59,2.93,106.44,3.84,729
74.7,13.88,1.4,2.71,103.54,3.83,730
70.94,13.73,1.19,2.81,113.52,3.45,731
74.38,13.89,1.34,2.25,115.38,3.71,732
73.63,13.68,1.53,2.4,101.44,3.77,733
69.72,13.49,1.67,2.87,98.88,3.54,734
67.27,13.37,1.72,2.82,113.99,3.83,735
61.49,12.64,1.75,2.33,93.47,3.67,736
68.3,14.03,1.17,2.68,107.03,3.99,737
75.11,13.62,1.54,2.23,117.11,3.8,738
76.03,13.76,1.57,2.66,103.02,3.91,739
65.54,13.89,1.4,2.43,88.31,3.87,740
57.87,13.93,1.69,2.81,120.66,3.87,741
72.26,13.52,1.44,2.28,102.81,3.43,742
104.29,13.92,1.53,2.34,114.3,3.56,743
59.87,13.41,1.42,2.33,104.59,3.64,744
50.03,13.62,1.53,2.52,108.28,3.45,745
55.18,13.4,1.62,2.78,136.17,3.58,746
86.19,13.94,1.51,2.35,112.2,3.7,747
60.13,13.72,1.6,2.66,110.86,3.58,748
71.08,13.57,1.66,2.6,114.64,3.25,749
59.36,13.85,1.44,2.59,112.43,3.8,750
83.27,13.94,1.15,2.47,132.13,3.38,751
66.93,13.94,1.67,2.23,91.95,3.59,752
62.61,13.98,1.8,2.64,105.38,3.82,753
54.16,12.44,1.24,2.69,110.58,3.5,754
77.65,12.31,1.54,2.31,114.64,3.7,755
115.18,13.18,1.54,2.39,122.18,3.7,756
69.23,13.34,1.72,2.4,111.63,3.62,757
80.26,13.0,1.36,1.99,142.72,3.56,758
78.8,11.61,1.26,2.42,102.31,3.26,759
74.33,12.67,1.1,2.88,120.19,3.75,760
75.99,11.72,1.53,2.12,117.47,3.71,761
67.21,12.46,1.42,2.26,118.66,3.61,762
62.45,12.42,1.49,2.31,125.62,3.75,763
72.72,12.31,0.95,2.71,92.14,3.72,764
89.04,12.61,1.01,2.51,102.4,3.55,765
67.0,13.32,0.86,2.2,117.4,3.65,766
75.44,12.98,1.03,2.42,134.85,3.94,767
81.31,11.88,1.22,2.48,144.15,3.79,768
79.71,12.38,1.43,2.41,126.68,3.61,769
82.87,11.86,1.15,2.28,133.88,4.19,770
88.71,12.86,1.34,2.3,130.08,3.89,771
90.97,12.2,1.28,2.27,146.6,3.39,772
84.92,12.82,0.97,1.56,135.14,3.4,773
86.05,12.45,1.46,2.34,126.96,3.65,774
85.4,12.33,1.2,2.49,142.54,3.3,775
79.2,11.4,1.34,2.47,139.21,3.66,776
84.31,12.09,0.95,2.16,130.1,3.63,777
77.92,11.73,0.98,2.54,121.27,3.5,778
80.66,12.53,1.26,1.83,128.91,3.96,779
76.33,12.49,0.77,2.36,74.57,3.51,780
78.19,12.8,1.01,2.25,67.92,3.84,781
74.17,12.7,2.39,2.2,137.85,3.59,782
82.16,10.64,1.5,2.1,131.47,3.64,783
77.93,10.82,1.29,2.25,131.67,3.34,784
76.33,10.74,1.37,2.28,119.9,3.04,785
80.25,10.75,1.09,2.37,119.65,3.36,786
86.78,10.74,1.04,2.28,129.57,2.95,787
73.94,10.7,1.19,2.35,124.31,2.8,788
73.21,11.09,0.98,2.37,128.62,3.1,789
77.8,10.46,0.99,2.3,128.69,3.0,790
79.87,10.57,1.23,2.34,127.21,2.96,791
78.83,10.38,1.53,2.28,128.08,2.9,792
80.59,11.04,1.28,3.73,129.02,3.23,793
81.14,10.76,1.17,2.42,134.78,2.8,794
75.25,10.73,1.17,0.92,129.88,3.16,795
78.49,10.84,1.13,2.44,123.06,3.16,796
80.8,10.6,1.57,2.2,136.77,3.26,797
85.1,10.25,1.14,2.24,134.49,2.88,798
82.02,11.1,1.04,2.29,130.52,3.18,799
84.22,10.77,1.26,2.05,131.65,2.86,800
80.41,10.8,1.6,2.24,127.06,2.92,801
67.24,10.69,1.6,2.84,126.15,3.26,802
67.94,10.68,1.62,2.44,129.79,3.06,803
72.56,10.79,1.36,2.56,133.53,2.61,804
61.79,10.59,1.7,2.73,133.3,3.69,805
85.08,13.8,1.61,2.53,117.32,3.23,806
84.8,10.92,1.5,2.84,117.44,3.63,807
71.95,10.65,1.44,2.63,118.2,2.24,808
80.32,10.88,1.47,2.43,122.12,3.42,809
81.17,11.06,1.44,2.74,122.43,3.7,810
74.13,10.66,1.46,2.98,117.45,3.46,811
83.6,12.77,1.51,2.69,141.95,3.23,812
78.55,13.37,1.77,2.89,129.65,3.58,813
79.84,11.12,0.47,3.51,123.43,3.41,814
69.47,13.4,1.67,2.79,120.26,3.65,815
62.96,12.66,1.49,2.51,122.47,3.08,816
69.94,12.85,1.68,2.64,127.33,3.55,817
78.46,13.11,1.65,2.57,117.46,3.08,818
84.15,12.74,1.55,2.57,129.17,3.36,819
65.89,13.0,1.28,2.96,130.82,3.69,820
69.27,13.16,1.58,2.62,120.12,3.71,821
76.7,12.78,1.06,2.38,112.27,3.49,822
76.51,12.73,1.77,2.43,125.53,3.68,823
86.49,12.53,1.46,2.69,106.65,3.76,824
72.92,12.94,1.62,3.49,117.5,3.41,825
70.73,13.17,1.1,2.66,128.71,3.43,826
73.8,12.97,1.32,2.8,128.93,3.07,827
88.37,12.52,1.86,2.67,128.61,3.5,828
81.4,13.18,1.35,2.7,128.83,3.41,829
76.39,13.28,1.6,2.86,128.34,2.86,830
70.22,12.86,1.08,2.73,128.66,3.21,831
67.95,12.34,1.36,2.8,139.75,2.89,832
70.08,12.87,1.42,2.77,128.65,3.53,833
71.31,12.73,1.18,2.6,128.57,2.89,834
80.18,13.24,1.39,1.99,128.59,3.23,835
79.73,12.89,2.69,2.08,128.67,2.77,836
79.8,13.88,1.45,1.92,128.96,3.02,837
80.16,13.24,1.68,1.61,128.6,3.26,838
80.05,12.57,1.32,1.88,128.81,4.14,839
80.01,13.29,1.62,1.9,128.66,2.77,840
80.23,13.2,0.91,1.63,128.84,3.31,841
79.84,13.55,1.65,2.07,128.56,2.52,842
79.8,13.4,1.5,1.57,128.79,3.59,843
79.98,13.21,1.34,1.93,128.28,2.44,844
79.8,13.18,1.64,1.68,128.57,3.03,845
79.95,12.85,1.21,1.81,117.54,3.21,846
79.85,13.58,1.68,1.62,119.38,3.61,847
79.97,13.34,1.37,2.08,120.31,3.49,848
80.2,12.75,1.45,1.73,122.65,3.52,849
80.27,12.89,1.02,1.81,118.82,3.51,850
79.85,13.68,1.55,1.52,126.25,3.54,851
80.09,13.56,0.18,1.93,118.11,3.72,852
79.74,13.63,1.41,1.78,134.66,3.54,853
79.9,13.11,1.28,1.93,106.97,3.61,854
80.03,13.16,1.04,1.54,124.94,3.57,855
80.0,13.59,1.11,1.93,122.74,3.44,856
79.81,13.12,1.23,1.97,120.01,3.31,857
79.98,13.41,1.64,1.86,118.0,3.47,858
79.82,13.21,1.47,1.72,126.9,3.44,859
80.38,13.6,1.02,1.76,115.91,3.67,860
79.79,13.27,1.18,1.79,118.68,3.51,861
79.85,13.22,1.25,1.65,122.38,3.41,862
80.12,13.12,1.23,1.76,119.53,3.47,863
79.95,13.19,1.12,1.72,121.63,3.46,864
80.33,13.25,1.46,2.01,118.85,3.38,865
79.96,13.5,0.88,2.0,127.55,3.42,866
80.31,13.49,1.47,1.64,116.86,3.73,867
52.33,13.5,1.28,2.08,114.9,3.51,868
51.54,12.75,1.77,2.59,121.92,3.63,869
63.2,12.6,1.26,2.06,127.63,3.29,870
65.33,12.51,1.6,2.65,112.16,3.32,871
126.32,12.49,1.54,2.33,127.16,3.87,872
68.51,12.78,1.77,2.08,108.78,3.31,873
54.06,12.19,1.19,2.31,115.21,3.65,874
50.93,12.47,1.0,2.26,117.73,3.41,875
62.01,12.33,1.33,2.28,110.99,3.49,876
52.07,12.8,1.36,2.18,114.35,3.47,877
45.85,12.51,1.32,2.16,117.84,3.25,878
59.69,12.91,1.09,2.04,124.26,3.52,879
51.97,12.71,1.57,2.4,125.58,3.46,880
55.98,12.36,1.23,2.61,96.94,3.33,881
57.17,12.98,1.5,2.45,111.69,3.62,882
73.81,12.2,1.33,2.41,117.87,3.18,883
44.24,12.56,1.96,2.37,116.04,3.27,884
70.75,12.74,1.54,2.36,117.19,3.27,885
54.09,12.61,1.51,2.25,130.28,3.49,886
65.98,12.06,1.55,2.48,114.98,3.31,887
80.06,12.82,1.16,2.47,134.73,3.41,888
75.43,12.72,1.27,2.46,128.46,3.76,889
61.57,12.6,1.29,2.32,122.5,3.02,890
40.87,12.84,1.2,2.2,119.83,3.19,891
52.18,13.03,1.42,2.35,115.61,3.8,892
71.41,12.65,1.26,2.61,131.06,3.8,893
64.83,12.78,2.18,2.43,115.94,3.68,894
58.83,12.74,1.38,2.15,113.6,3.52,895
59.21,12.47,1.36,2.2,118.4,4.18,896
72.97,12.7,1.65,2.59,114.06,3.5,897
56.16,12.01,1.5,2.34,127.58,3.87,898
60.54,11.22,1.19,2.21,128.92,3.58,899
47.23,11.16,1.13,2.27,117.69,3.99,900
70.97,11.35,1.48,2.42,121.85,3.52,901
68.74,11.08,1.3,2.2,127.99,3.86,902
74.82,11.03,1.71,2.2,110.02,3.29,903
80.95,14.09,1.02,1.98,132.15,3.87,904
75.53,6.83,1.16,1.99,115.8,3.44,905
74.83,10.81,1.16,2.38,131.66,3.51,906
75.4,11.04,1.46,2.29,132.92,3.77,907
76.93,10.52,1.44,2.26,124.93,3.15,908
51.77,11.09,1.36,1.96,132.72,4.05,909
78.47,11.12,1.26,2.43,132.8,4.68,910
72.94,11.1,1.2,2.19,136.16,3.09,911
70.85,10.69,1.19,2.14,128.03,2.74,912
75.63,10.73,1.03,2.36,134.73,3.21,913
68.77,10.88,1.34,2.31,127.94,2.66,914
70.05,10.8,1.41,2.13,127.14,2.78,915
74.45,11.05,1.21,2.25,129.35,3.04,916
