core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
91.0,14.57,3.57,3.68,1.45,1.24,3.25,1.62,122.86,3.65,444
88.24,14.98,3.41,2.39,1.6,1.5,2.78,1.72,120.01,3.72,445
103.9,14.58,3.45,2.69,1.41,1.19,2.96,1.71,120.02,3.57,446
69.02,14.79,3.19,2.57,1.5,1.27,3.0,1.6,121.16,3.76,447
84.78,15.0,3.43,2.44,1.31,1.25,2.83,1.79,121.74,3.72,448
84.43,14.75,3.35,2.7,1.45,1.71,2.67,1.57,122.67,3.7,449
83.84,14.77,3.17,2.38,1.52,1.74,2.42,1.68,121.86,3.78,450
67.32,14.83,3.19,2.75,1.69,1.42,3.17,1.57,120.24,3.83,451
76.64,14.67,3.28,2.53,1.46,1.58,2.35,1.48,133.14,3.95,452
78.26,14.61,3.01,2.66,1.53,1.13,3.25,1.6,128.03,3.69,453
89.76,14.63,3.33,2.49,1.59,1.76,2.93,2.07,126.6,3.35,454
85.4,14.79,3.27,2.31,1.33,1.44,2.42,1.51,124.37,3.1,455
83.26,14.14,3.62,2.68,1.62,1.68,2.58,1.74,125.01,3.98,456
76.9,14.78,3.38,2.41,1.51,1.76,2.52,1.88,123.5,3.81,457
85.26,15.79,3.36,2.7,1.5,1.6,2.78,2.3,127.85,3.43,458
71.79,16.39,3.4,2.48,1.43,1.57,2.69,1.29,125.02,3.5,459
71.14,14.43,3.04,2.63,1.26,1.88,3.01,1.85,104.68,3.77,460
74.32,18.27,3.25,2.67,1.54,1.39,2.74,2.03,126.17,3.64,461
71.65,16.14,3.11,2.7,1.38,1.47,2.49,1.64,126.0,3.5,462
74.62,15.95,3.2,2.73,1.72,1.6,2.72,1.36,124.08,3.78,463
86.1,19.97,3.01,2.53,1.63,1.69,2.67,1.56,125.75,4.08,464
82.44,16.78,3.0,2.52,1.66,1.21,2.7,1.41,123.63,3.7,465
85.81,16.16,3.01,2.42,1.28,1.73,2.1,1.58,124.84,3.62,466
68.02,13.2,2.61,2.89,1.39,1.39,3.51,1.7,123.72,3.98,467
74.34,16.78,3.06,2.86,1.8,1.47,2.88,1.53,126.72,3.49,468
72.76,14.98,2.78,2.34,1.36,1.71,2.42,1.28,126.46,3.66,469
74.76,14.19,3.0,2.56,1.69,1.65,4.13,1.55,125.0,3.59,470
72.56,15.61,2.92,2.33,1.45,1.26,2.99,1.49,129.75,3.8,471
78.63,14.69,2.97,2.69,1.43,1.38,2.91,1.6,125.24,3.94,472
74.81,12.03,2.69,2.45,1.49,1.72,1.99,1.88,125.76,3.63,473
70.01,15.67,3.02,2.34,1.37,1.7,3.03,1.59,126.87,3.7,474
73.75,13.95,2.72,2.33,1.47,1.64,2.71,1.51,124.11,3.91,475
69.93,17.31,2.74,2.33,1.48,1.41,2.79,1.63,129.22,3.81,476
77.91,17.5,2.68,2.56,1.85,0.88,2.82,1.71,128.84,3.98,477
80.2,12.59,2.83,1.41,1.96,1.7,2.49,1.69,119.57,3.49,478
78.08,14.03,2.72,2.64,1.64,1.49,2.38,1.44,120.78,3.99,479
74.24,15.55,2.95,2.44,1.66,1.19,2.78,1.4,133.67,3.6,480
65.43,18.06,2.63,2.46,1.71,1.05,2.8,1.54,115.53,3.58,481
78.78,15.54,2.93,2.07,1.95,1.14,3.34,1.5,109.17,3.67,482
76.9,14.52,2.94,2.42,1.76,1.25,2.76,1.9,129.1,3.44,483
80.82,14.65,2.8,2.44,1.67,1.45,2.85,1.7,108.04,3.66,484
79.31,14.77,3.06,2.46,1.82,1.58,2.71,1.31,125.95,3.68,485
