core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
33.42,1.25,2.55,1.89,2.37,3.35,1.55,2.71,49.21,3.8,545
32.77,1.21,2.08,1.75,2.85,2.89,1.07,2.42,48.33,3.79,546
34.55,2.35,2.27,1.46,2.49,3.2,1.53,2.76,40.36,3.61,547
35.37,0.86,2.54,1.59,2.55,3.3,1.52,2.81,50.37,3.47,548
34.08,1.25,2.17,1.97,2.39,3.03,1.52,2.56,46.81,3.48,549
34.19,1.45,2.24,1.78,1.94,3.12,1.48,2.62,47.65,3.85,550
34.78,1.3,2.7,1.76,2.47,3.35,1.33,2.96,49.16,3.66,551
35.01,1.48,2.47,1.63,2.47,3.17,1.39,2.68,43.72,3.84,552
30.79,1.38,2.16,1.68,2.76,3.19,2.29,2.69,44.65,3.62,553
29.3,1.29,1.95,2.04,2.47,3.45,1.88,2.21,47.98,4.06,554
30.03,1.33,2.23,1.71,2.45,3.16,1.84,2.68,45.62,3.61,555
29.98,1.27,2.03,1.72,2.41,2.72,1.67,2.55,50.03,3.81,556
30.71,1.59,2.35,2.02,2.51,3.62,2.01,1.99,33.9,3.77,557
30.91,1.83,2.37,2.01,2.53,2.97,1.83,4.09,42.19,3.45,558
30.42,1.46,2.01,2.0,2.22,3.12,1.86,1.84,46.72,3.17,559
29.22,0.97,2.28,1.53,2.42,2.17,1.61,2.35,54.25,3.66,560
30.17,1.22,3.11,1.71,2.55,3.06,1.42,2.27,62.12,4.61,561
30.89,1.08,2.19,1.86,2.5,3.38,1.81,1.87,55.76,3.79,562
33.79,1.24,2.18,1.29,2.85,3.15,1.96,1.91,56.59,3.76,563
30.34,1.32,2.38,1.8,2.43,3.43,1.56,2.39,60.81,3.47,564
29.58,1.12,2.4,2.16,2.79,3.16,1.66,2.28,53.83,3.8,565
31.59,1.35,2.72,2.22,2.39,3.43,1.34,2.09,57.1,3.79,566
30.69,1.23,2.51,1.85,2.69,3.2,1.73,1.9,49.16,3.56,567
27.59,1.45,2.49,1.93,2.18,3.12,1.88,1.86,60.95,3.36,568
28.7,1.1,2.48,1.85,2.37,3.16,1.25,2.33,45.79,3.69,569
30.58,1.02,2.44,1.96,2.28,2.91,1.75,2.21,55.53,3.63,570
27.99,1.74,2.46,1.96,2.4,3.53,2.24,2.42,63.67,3.69,571
30.56,1.37,2.28,1.93,2.6,3.04,1.43,1.9,59.93,3.9,572
30.96,1.36,2.31,1.78,2.61,3.0,1.72,2.05,61.37,3.7,573
30.51,1.33,2.54,1.87,2.76,3.44,1.83,2.22,48.34,3.42,574
30.3,1.25,2.15,2.17,2.46,3.45,1.91,1.94,50.33,3.88,575
30.03,1.29,2.6,1.79,2.6,3.14,1.49,1.92,49.93,3.77,576
29.65,1.1,3.04,2.09,2.35,3.24,1.75,2.33,60.37,3.59,577
31.18,1.1,2.04,2.14,2.4,3.15,1.69,2.15,51.41,3.64,578
31.33,1.61,2.26,2.18,2.35,3.33,1.62,2.43,62.98,3.56,579
30.7,1.36,2.44,1.98,2.47,3.12,1.3,2.07,56.61,3.68,580
29.95,1.15,2.65,1.9,1.23,3.01,1.99,2.13,55.28,3.65,581
29.94,1.31,2.81,1.92,2.42,3.26,1.88,2.03,78.01,3.6,582
30.36,1.27,2.55,2.0,2.59,2.86,1.6,1.98,79.89,3.8,583
29.8,1.16,2.67,1.61,2.57,2.82,1.67,2.04,68.58,3.74,584
30.45,1.48,2.56,2.21,2.49,3.07,1.92,2.27,66.77,3.79,585
27.86,1.01,2.6,1.84,2.47,2.79,1.71,2.12,65.67,3.62,586
28.87,0.76,2.37,1.63,2.49,2.95,1.73,1.86,63.44,4.24,587
28.64,1.05,1.46,2.22,2.73,2.97,1.56,1.75,69.23,3.35,588
29.63,1.03,2.44,1.51,2.54,2.78,1.72,2.2,68.95,3.6,589
30.08,1.13,2.89,1.94,2.37,2.79,1.65,1.75,73.3,3.91,590
29.23,1.03,2.76,2.14,2.87,2.83,1.41,2.37,71.16,3.2,591
27.93,1.02,2.57,2.3,2.63,2.81,1.65,2.01,67.1,3.77,592
30.06,1.07,3.1,2.11,2.4,2.65,1.65,2.01,71.4,3.69,593
29.44,0.87,2.71,2.11,2.74,2.59,1.69,2.19,65.76,3.83,594
27.97,0.91,2.53,2.42,2.67,3.08,1.7,2.58,66.46,3.72,595
28.26,0.94,2.54,2.04,2.53,2.82,1.92,2.51,66.13,3.79,596
28.94,0.67,2.55,1.78,2.61,3.14,1.35,2.21,70.83,3.76,597
30.09,1.23,2.47,1.33,2.53,2.72,1.85,2.23,70.28,3.67,598
29.59,0.91,1.98,1.91,2.7,3.16,1.88,2.2,68.11,3.92,599
29.94,0.94,2.79,2.33,2.79,2.94,1.47,2.21,65.84,3.66,600
29.41,1.05,2.5,1.89,2.43,3.12,1.99,1.71,64.31,3.92,601
30.08,0.12,2.39,2.09,2.55,2.97,1.64,2.92,66.63,3.58,602
29.31,1.23,2.26,2.29,2.31,2.75,1.64,2.07,62.47,3.67,603
28.77,0.99,2.32,1.68,2.37,2.96,1.86,2.4,67.95,3.45,604
29.38,1.18,2.4,1.88,2.52,2.87,1.7,2.17,65.21,3.5,605
28.72,1.13,2.52,2.24,2.79,3.12,1.86,2.19,64.7,3.54,606
29.56,0.64,2.08,1.85,2.5,2.72,1.67,2.28,60.01,3.57,607
29.68,1.02,2.5,1.84,2.61,2.59,0.63,2.17,66.79,3.77,608
29.64,0.76,2.27,1.98,2.51,2.69,1.14,2.19,64.31,3.34,609
31.09,1.15,2.15,2.33,2.82,2.81,1.34,2.13,62.25,3.6,610
29.11,1.03,2.2,1.84,2.9,2.92,1.68,2.37,64.2,3.66,611
28.37,0.72,2.7,1.99,2.59,2.5,1.63,1.9,60.47,3.9,612
28.71,0.88,2.35,2.06,2.47,2.71,2.01,2.26,63.18,3.77,613
28.9,1.27,2.21,1.91,2.61,2.96,1.82,2.24,60.99,3.7,614
29.29,1.06,2.69,2.51,2.59,2.79,1.46,2.23,65.38,3.67,615
27.66,0.96,2.8,2.38,2.43,2.72,1.55,2.43,65.38,3.63,616
28.11,1.07,2.25,1.74,2.61,2.69,1.6,2.05,61.49,3.79,617
30.94,1.14,2.65,2.1,2.54,2.52,1.99,2.21,62.32,3.61,618
30.05,1.22,2.27,1.87,2.29,2.8,1.78,2.17,60.01,3.51,619
24.42,1.5,2.44,1.99,2.53,2.79,1.95,1.93,61.01,4.01,620
24.49,1.42,2.63,1.89,2.45,2.79,1.9,2.28,59.8,3.0,621
22.57,1.24,2.52,2.14,2.38,2.62,1.8,2.07,60.27,3.14,622
26.9,1.14,2.75,2.19,2.42,2.77,2.06,2.03,67.12,3.39,623
27.18,1.58,2.67,2.12,2.55,2.93,1.36,2.16,61.74,3.03,624
27.2,1.24,2.72,2.1,2.68,2.6,2.07,2.23,64.47,3.26,625
27.29,1.65,2.52,2.23,2.09,3.15,2.11,2.03,62.12,3.39,626
26.67,1.06,2.68,2.06,2.25,2.87,2.08,1.91,61.03,3.37,627
28.79,1.31,2.2,2.07,2.68,2.89,1.86,2.49,67.29,3.2,628
