query_id,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy,late_ratio,ground_truth
a8356725-6700-4974-9572-05defdd8cffe,1,1,1,1,0,using_phone
5187b6a8-e295-49a7-b2be-2f48bfd6892f,1,1,1,1,0,standing_up
58dc2b61-e3e3-43e8-8195-c93c0bd4c47f,0,0,0,1,0,transferring_object
8ee889de-0d4d-4bc9-9956-d191ff0ca5f5,1,1,1,1,0,looking_around
a762df2c-0d0e-49b0-a363-a0281f27cd90,1,1,1,1,0,fall
39926ac8-0e5a-4228-8de4-b3679218f1ab,1,1,1,1,0,Carrying_light
ee0b03e7-5b8b-4ffa-b581-e2e3bfada354,1,1,1,1,0,fall
a01e2088-e219-4c6b-82f5-4ffccf63cd56,1,1,1,1,0,Carrying_light
b9810fec-8928-4fc0-87a3-a33295249348,1,1,1,1,0,looking_around
240ab00c-ddc8-4f9b-8370-a35989f011c2,1,1,1,1,0,Carrying_light
5abe8dc6-e1c9-4849-894e-e2ec0ce966a3,1,1,1,1,0,pulling
aeb2bbb3-d2bf-4012-bcd8-3ad7e76b9bef,1,1,1,1,0,exiting
aa0adb9c-caf9-4388-96f3-193e48afe208,1,1,1,1,0,standing
389d475e-be47-4a96-ad3c-7a4845e936e5,0,0,0,1,0,walking
84b57792-c178-4067-9250-fa151a4498ee,1,1,1,1,0,using_pc
65ebdd9d-e446-4c0b-a68e-de66a56e8ca9,1,1,1,1,0,jumping
51758d34-4f5a-4941-92ba-33698ef32c86,0,0,1,1,0,Carrying_light
11658482-9884-49b6-b8c5-b403b966e488,1,1,1,1,0,talking
4b0cd423-3808-44af-bd24-50ae4dcdff52,1,1,1,1,0,carrying_light
110e5027-faea-4f78-9e03-df6f5e7abc40,1,1,1,1,0,fall
a932a7e2-b5d3-41a0-a4ee-167741883e75,1,1,1,1,0,talking_on_phone
fcd02b46-b9e8-42d7-88f7-7b6826a3f848,1,1,1,1,0,waving_hand
4ddf8054-7da1-489b-a269-a2b6be301352,1,1,1,1,0,sitting
0ed11f90-eb43-4022-92e5-ad45f0225f94,1,1,1,1,0,closing
1bea1bd9-53d8-4271-806f-3da0c8fc1230,0,0,0,1,0,using_pc
ebee5c5c-88bf-499f-86eb-250c1d2f9696,1,1,1,1,0,setting_down
ee752116-9ea7-4172-895b-574080f15fec,1,1,1,1,0,waving_hand
51e50cea-c5f5-4bc0-8735-e94a97bff5e3,1,1,1,1,0,drinking
9bade3f2-f692-48eb-995e-43f598c787b3,1,1,1,1,0,standing_up
93ee1b32-391d-4e54-8549-733b8b5d67da,1,1,1,1,0,throwing
820aa5a4-65a9-4319-bfd6-f378d28c76db,1,1,1,1,0,sitting_down
ba06b8cd-a10c-4c95-bd3d-b0b9746c0151,0,1,1,1,0,closing
7257583e-62de-4e77-9707-09421598062b,0,0,0,1,0,sitting
34155edc-5e1c-413d-848b-e759d41a90a8,1,1,1,1,0,setting_down
5687d2a2-f2a1-4c8b-8d40-d9292d71ab5b,0,1,1,1,100,standing
c01c5d90-e72c-46ad-aa5b-1c71fb523878,1,1,1,1,0,sitting_down
99024737-f191-4568-a77e-ef6d061ac0e7,0,0,0,0,0,32
2fea0760-1cd3-4818-afcc-d6b9cb579a9a,0,1,1,1,100,pocket_in
d86b8010-6937-4ae9-9784-86eb3e045ce2,1,1,1,1,0,using_phone
1d0c98d8-458e-4a1b-8e55-f25d9d21b7fc,0,0,0,0,0,11
f389a7c2-29a5-426a-8055-2f514e49c0ab,1,1,1,1,0,fall
4c8ffaa1-819d-45db-b3bc-975447f57587,1,1,1,1,0,using_phone
ce485cea-534b-4ad0-8695-7ed249c861cc,0,1,1,1,0,fall
