query_id,time_violation,remaining_inference_time,data_sources,top_1,top_3,top_5,top_10,no_object,list_objects
05e54b57-f158-4b73-a491-7a19799fcc76,False,1.1120993945202622,"['rgb', 'ninf', 'minf', 'finf']",9.0,9.0,9.0,9.0,10.0,"[0, 1, 4, 5, 6, 8, 11, 12, 13, 20]"
00de0297-91c3-47cd-8ede-0a6b8a4d84c6,False,1.598343630128345,"['rgb', 'ninf', 'minf', 'finf']",8.0,8.0,8.0,8.0,8.0,"[0, 1, 2, 3, 5, 6, 7, 15]"
90955aeb-258f-4a7f-934d-cacf633aa637,False,0.4240121585233969,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
fc3201d9-c0ad-42a8-b62d-16e045a3d1f1,False,1.4275105233530936,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 2, 4]"
d3ce2739-0802-4299-8c44-c4d68a0da889,False,1.7117902337894717,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
6decb285-f94d-4292-b423-fbf65470b135,False,2.509154260654588,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
4067a86d-b0bf-4a62-9825-82f6e1ca453a,False,1.854546575904679,"['rgb', 'ninf', 'minf', 'finf']",14.0,14.0,14.0,14.0,14.0,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 17, 25]"
fcc2c371-45a3-4812-b6e0-447d4e6d4647,False,1.4523384394329075,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,5.0,"[0, 1, 3, 4, 6]"
ba208a3b-6ea2-44a6-88d7-b77296ae116e,False,0.8248974479370506,"['rgb', 'ninf', 'minf', 'finf']",1.0,2.0,2.0,2.0,2.0,"[1, 2]"
ceac9043-dc74-411d-b23e-b05ba5aa8a26,False,1.835020991312164,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,5.0,"[0, 4, 5, 8, 9]"
c751243a-68e3-496f-8709-da42548ca0b7,False,0.8113905121645115,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
ab75d25a-eb22-43cf-a56d-6e896de72bd0,False,0.7558812257961024,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
83d778fb-d6b8-4c78-a489-c3d6050cd5c1,False,0.7586258020259637,"['rgb', 'ninf', 'minf', 'finf']",8.0,8.0,8.0,8.0,8.0,"[0, 1, 2, 3, 4, 5, 7, 9]"
a79de8e7-5e7a-4bcc-b495-46d8d66243b0,False,1.3890847190061495,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 2, 3]"
e52cd124-90c7-4a68-8f0c-59f1f3d1fcd8,False,2.038453281115657,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
82783fcc-34f8-4145-ad78-8d934318947b,False,2.380010720369228,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 2, 3]"
5eebfc54-fd04-444f-bb8f-facb5e81f7a8,False,1.3333138519794765,"['rgb', 'ninf', 'minf', 'finf']",8.0,8.0,8.0,8.0,8.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
dfaf570c-070a-42b3-9971-e1ea616737d4,False,1.452707155486303,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
4a88fd43-2788-42e5-bf5c-cd0dcab6c088,False,0.5584557549879821,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,6.0,"[0, 1, 2, 3, 4, 5]"
15e90970-f0cc-43ad-b8b3-9eac3bbe381b,False,1.8921083286024356,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,3.0,"[0, 2, 3]"
9e77e844-d639-4820-b087-f68903e072c2,False,1.4942346064810077,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 2, 3]"
1171c25e-8feb-4ff5-82e4-2ab2b02c98a7,False,0.7446954381301221,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,3.0,"[0, 1, 3]"
e39188fb-a7e0-4115-8289-99a1fa681917,False,1.738131434559325,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 3]"
9f7e9d1f-eeac-41f4-95ca-05b0d19d8cf3,False,1.8411229882128315,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,6.0,"[0, 1, 2, 3, 4, 5]"
85c35f47-cadb-4789-8132-45e173f74b2c,False,1.3798564833777096,"['rgb', 'ninf', 'minf', 'finf']",9.0,9.0,9.0,9.0,9.0,"[0, 1, 2, 4, 5, 7, 10, 11, 16]"
fa68139c-60df-447a-bd8d-2a283f51445c,False,0.7837075217581908,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 2]"
7f05e860-0366-477a-85c0-787e546cc72c,False,1.797092936843979,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[1, 3, 4, 6]"
f210cba5-5d7f-4912-a621-bd2a22e43623,False,1.672391369813817,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,6.0,"[0, 1, 2, 5, 6, 8]"
0c449521-e80e-4912-b617-33b751c7ca23,False,1.3493753498699408,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,7.0,"[0, 1, 2, 3, 4, 5, 8]"
