core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
35.73,3.13,2.26,1.47,1.92,1.27,2.14,2.74,246.96,3.36,503
34.36,3.46,1.99,2.02,1.6,1.43,2.43,2.82,241.13,3.59,504
31.58,3.19,2.27,1.53,1.87,1.43,2.52,2.64,245.22,3.65,505
31.92,3.41,1.53,1.53,1.45,1.25,2.99,2.69,246.46,3.14,506
33.52,3.19,2.71,0.95,1.73,1.25,2.02,2.71,254.91,3.72,507
29.91,3.3,2.32,1.49,1.58,1.46,2.45,4.59,219.79,3.46,508
30.19,4.43,2.05,1.26,1.74,1.28,2.32,2.7,239.63,3.64,509
37.2,3.51,2.11,1.24,1.4,1.19,2.24,2.64,237.77,3.58,510
29.43,3.43,1.9,1.42,1.75,1.34,2.1,3.29,265.92,3.48,511
31.02,3.05,2.1,1.4,1.45,1.45,2.41,2.85,240.53,3.69,512
34.14,2.87,2.15,1.4,1.74,1.08,2.08,3.2,244.52,3.33,513
30.97,3.35,2.04,1.65,2.68,1.48,2.41,2.76,226.95,3.62,514
34.72,3.36,2.36,1.61,1.61,1.01,2.31,3.23,242.36,3.83,515
33.88,3.4,2.01,1.25,1.68,1.76,2.36,3.14,329.03,3.57,516
32.5,3.33,1.95,1.09,1.74,1.49,2.16,2.34,279.69,3.57,517
34.07,3.06,1.82,1.03,1.57,0.79,2.4,3.6,282.23,3.68,518
32.1,2.9,2.09,1.18,1.46,1.0,2.26,2.65,274.12,3.56,519
34.87,3.36,1.61,1.4,1.89,1.61,2.64,2.76,290.18,3.79,520
32.85,3.65,1.74,1.2,1.46,1.37,2.13,2.68,293.66,3.4,521
32.29,3.74,1.88,1.41,1.34,1.2,2.52,2.69,285.16,3.44,522
32.37,3.73,2.06,2.52,1.68,1.28,2.32,3.55,276.01,3.63,523
32.05,3.58,2.18,1.52,1.59,1.48,2.29,2.76,283.1,3.36,524
28.74,3.85,2.33,1.39,1.75,1.31,2.13,2.11,287.85,3.64,525
30.2,3.74,2.44,1.2,1.6,1.45,2.33,3.26,279.49,3.6,526
30.12,3.67,2.3,1.33,1.68,2.35,1.95,3.57,291.19,3.57,527
30.28,3.5,2.13,1.61,0.0,1.27,2.4,2.5,275.69,3.56,528
29.02,3.66,1.91,1.18,1.8,1.12,2.33,2.46,285.49,3.46,529
30.6,3.32,2.02,1.48,1.73,1.31,2.13,2.33,284.28,3.6,530
30.09,3.97,2.31,1.53,1.7,1.31,2.2,2.98,285.26,3.54,531
28.38,3.65,1.66,1.34,1.6,1.18,2.29,2.82,280.02,3.63,532
28.36,3.1,1.91,1.44,1.6,1.32,2.01,2.54,270.8,3.42,533
32.07,3.43,1.84,1.2,1.44,1.13,2.2,2.76,284.35,3.82,534
31.12,3.66,2.42,1.32,1.42,1.52,2.12,2.87,274.73,3.74,535
26.91,3.84,2.1,1.12,1.5,1.09,2.04,1.8,280.77,3.57,536
28.92,3.75,2.26,1.8,1.83,1.02,2.16,2.8,268.8,3.81,537
31.42,3.84,1.76,1.21,1.79,1.44,2.25,2.75,283.61,3.25,538
31.95,3.43,1.84,1.41,0.79,1.35,1.6,2.74,275.19,3.95,539
31.57,3.61,2.16,1.31,1.71,1.58,2.01,2.72,284.82,3.73,540
32.39,3.58,1.56,1.4,1.8,1.38,2.04,2.7,278.25,3.89,541
28.1,3.17,1.81,0.93,1.77,1.35,2.34,2.51,279.59,3.65,542
29.49,2.85,1.94,0.83,1.77,1.17,2.05,2.64,277.95,3.6,543
30.26,2.81,1.77,0.85,1.28,1.55,2.47,2.44,290.0,3.57,544
27.92,3.23,1.7,1.35,1.54,1.24,2.39,2.54,262.2,3.59,545
29.5,3.25,1.66,1.07,1.52,0.84,2.12,2.91,280.55,3.61,546
27.94,3.18,0.6,1.14,1.72,1.0,2.2,2.46,270.38,3.52,547
29.96,3.62,1.87,1.24,1.87,1.22,1.59,2.74,291.44,3.73,548
29.28,3.16,1.6,1.25,1.57,0.75,2.06,2.23,270.96,3.29,549
30.24,3.1,1.95,1.08,1.78,1.01,2.0,2.69,289.37,3.65,550
31.92,3.06,1.83,1.18,1.76,1.0,1.8,2.95,309.72,3.37,551
29.72,3.14,2.01,1.17,1.68,0.61,2.39,3.72,300.51,3.71,552
32.77,3.03,1.91,1.3,1.51,0.56,2.23,2.84,267.46,3.51,553
27.45,3.31,1.73,1.22,1.98,0.92,2.3,2.71,295.91,3.64,554
29.24,3.53,2.0,1.25,1.63,1.1,2.01,2.98,310.19,3.53,555
29.23,3.18,1.33,1.1,1.52,0.69,2.29,2.3,290.87,3.92,556
30.61,3.59,1.74,1.45,1.57,0.99,2.0,2.88,323.02,3.66,557
25.42,3.32,1.81,1.22,1.52,0.69,2.1,2.93,298.43,4.0,558
31.15,3.04,2.15,1.29,1.65,1.01,2.13,2.96,291.92,3.63,559
30.29,3.12,1.7,0.68,1.62,0.89,2.05,2.41,309.76,4.52,560
39.92,3.38,1.87,1.18,1.78,1.07,2.44,2.8,326.2,3.61,561
39.42,3.63,1.83,1.52,1.37,0.88,1.9,2.89,382.25,4.96,562
42.29,3.67,1.54,1.31,1.96,0.96,2.39,2.86,308.85,3.44,563
41.38,3.66,1.92,1.52,1.74,0.69,2.36,2.84,333.29,3.26,564
41.06,3.74,1.68,1.27,1.7,0.81,1.99,2.97,324.2,3.22,565
40.67,3.76,1.95,1.3,1.29,1.29,2.17,2.95,357.71,3.72,566
39.53,4.02,1.56,1.23,1.63,1.24,1.93,2.6,310.33,3.51,567
41.38,3.26,1.59,1.37,1.84,1.14,2.37,2.4,299.21,3.48,568
40.24,3.68,1.33,1.17,1.57,0.82,2.24,2.9,307.19,3.52,569
40.22,3.32,1.37,1.39,0.0,0.67,2.22,2.64,337.19,3.89,570
40.4,3.51,1.82,1.37,1.47,1.27,2.08,2.61,300.1,3.22,571
40.42,3.92,2.0,1.28,1.39,0.83,2.31,2.09,329.76,3.48,572
41.11,3.73,1.82,1.02,1.98,0.87,1.95,2.85,306.61,3.77,573
39.7,3.74,2.29,1.06,1.93,0.79,2.15,2.51,345.58,3.33,574
39.42,3.49,2.0,1.44,1.56,0.89,2.01,2.75,326.17,3.47,575
40.98,4.05,2.05,1.61,1.73,0.97,2.43,3.43,326.07,3.28,576
40.48,3.86,2.13,1.4,2.36,0.94,2.19,2.69,326.25,3.48,577
41.06,4.03,2.25,1.19,1.56,0.94,2.02,2.51,311.15,3.49,578
41.43,3.62,2.04,1.17,1.37,1.23,1.97,2.66,270.95,3.38,579
35.04,3.74,1.81,1.24,2.31,1.19,2.13,2.55,290.78,3.51,580
40.09,3.76,2.08,1.33,2.06,1.12,2.6,2.37,313.97,3.81,581
39.64,3.43,1.84,1.03,1.74,1.19,2.57,2.84,315.76,3.34,582
40.29,3.55,1.76,1.33,1.88,1.21,2.5,2.65,356.63,3.33,583
39.47,3.41,1.83,1.09,1.96,0.99,2.57,2.61,342.05,3.09,584
41.12,3.43,1.94,1.6,1.7,1.3,2.67,2.84,260.4,3.65,585
40.72,3.11,1.88,1.43,1.83,1.06,2.81,2.87,253.58,3.31,586
40.18,3.45,2.25,1.47,1.81,0.87,2.48,2.89,261.12,3.68,587
39.8,3.46,2.08,1.38,1.62,1.3,2.36,2.8,264.42,3.46,588
40.85,3.43,2.02,1.43,2.04,1.17,3.15,2.68,261.23,3.49,589
40.33,3.33,1.89,0.99,1.41,0.89,2.06,3.03,258.98,3.47,590
40.77,3.32,2.1,1.31,1.82,0.91,2.49,2.45,257.35,3.32,591
41.44,3.45,1.72,1.37,1.91,1.29,2.56,2.37,266.84,3.32,592
40.28,3.3,1.95,1.43,1.92,1.11,2.27,2.54,255.28,2.69,593
39.5,3.43,1.95,1.72,1.91,0.96,2.36,2.76,266.22,3.25,594
40.01,3.52,1.95,1.39,2.12,1.08,2.6,2.71,267.58,3.63,595
40.52,3.12,1.81,1.56,1.86,1.09,2.64,2.8,262.27,3.55,596
32.08,3.25,1.88,1.3,1.61,1.07,2.53,2.81,269.55,3.65,597
31.75,3.48,1.73,1.29,1.47,1.27,2.24,2.8,263.94,3.22,598
33.51,3.74,2.1,1.54,1.34,1.04,2.56,4.89,267.03,3.04,599
33.81,3.71,1.98,1.69,1.44,1.41,2.46,2.67,255.83,3.37,600
32.95,3.45,1.77,1.13,1.41,1.05,2.75,2.67,259.62,3.05,601
32.24,3.33,2.22,1.2,1.38,0.98,2.43,2.73,265.98,3.11,602
33.37,3.38,1.89,1.31,1.82,1.09,2.36,1.95,265.06,3.28,603
33.07,3.49,2.24,1.3,1.97,2.19,2.49,1.22,270.74,3.24,604
33.6,3.63,2.29,1.62,1.57,1.32,2.64,2.63,265.81,3.28,605
32.81,3.35,2.22,1.62,1.79,1.09,2.63,2.68,252.8,3.5,606
33.14,3.81,1.67,1.58,1.61,1.25,2.67,2.77,260.28,3.31,607
32.96,3.62,2.17,1.35,1.51,1.16,2.79,2.45,259.7,3.49,608
33.62,3.4,2.22,1.62,2.0,1.05,2.84,4.18,259.95,3.74,609
32.17,3.72,2.91,1.75,1.44,1.05,2.56,2.42,282.46,3.44,610
32.85,3.59,1.93,1.47,1.69,0.84,2.67,3.05,262.64,3.64,611
33.76,3.62,1.9,1.96,1.74,0.56,2.38,2.7,265.6,3.91,612
32.9,3.67,1.93,1.79,1.72,0.97,1.95,2.8,256.27,3.63,613
32.56,3.61,1.77,1.6,1.48,1.31,2.36,4.25,251.62,3.73,614
33.55,3.62,2.34,1.33,1.59,1.17,2.7,3.23,258.18,3.85,615
33.26,3.68,1.92,1.61,2.06,0.82,2.67,2.92,263.6,3.67,616
32.66,3.6,2.1,1.63,1.64,1.03,2.62,2.66,259.85,3.63,617
