core1,core2,core3,core4,mem,gpu,norm_ex_time
39.59,1.33,2.09,1.65,293.66,4.28,674
33.89,1.86,2.12,1.0,290.46,4.23,675
32.59,1.57,2.37,1.52,288.03,4.17,676
39.0,1.58,2.21,1.25,294.03,4.09,677
47.85,1.4,2.06,1.67,291.04,3.88,678
31.49,1.29,2.49,1.55,287.17,4.58,679
42.59,0.83,1.99,1.4,293.35,3.74,680
31.47,1.32,2.42,1.53,294.0,3.68,681
31.48,1.29,2.3,1.79,292.16,3.88,682
31.3,1.49,2.3,1.41,270.54,3.88,683
31.53,1.5,1.94,1.36,272.94,3.96,684
31.48,1.26,3.24,1.5,307.45,3.63,685
31.29,1.45,1.98,1.41,284.21,3.8,686
31.45,1.23,2.36,1.17,260.73,3.88,687
31.59,1.6,2.28,1.49,271.84,3.68,688
31.49,1.49,2.27,1.63,256.03,3.62,689
31.27,1.48,2.19,1.61,199.71,4.09,690
31.62,1.64,2.22,1.52,269.27,3.62,691
31.34,1.24,1.98,1.92,264.01,3.94,692
31.43,1.13,1.88,1.69,279.69,3.8,693
31.49,1.12,2.07,1.0,265.51,3.89,694
31.35,1.36,1.94,1.43,262.52,3.89,695
31.52,1.51,2.19,1.42,279.93,3.7,696
31.28,1.4,2.04,1.18,284.59,4.29,697
31.13,2.11,2.13,1.73,255.14,4.63,698
31.2,1.09,1.98,1.29,264.0,4.59,699
31.1,1.4,2.17,1.35,269.75,4.64,700
31.41,0.0,1.95,1.51,272.75,4.81,701
31.49,1.34,2.21,1.51,294.02,4.53,702
34.51,1.36,2.28,1.38,272.18,4.57,703
34.28,1.35,2.11,1.83,267.52,4.53,704
38.01,1.44,2.37,1.36,269.84,4.73,705
35.4,1.2,2.03,1.24,254.28,4.56,706
34.24,1.79,1.89,1.06,296.97,4.62,707
34.5,1.32,2.27,1.23,269.09,4.46,708
37.87,1.47,2.32,1.36,265.39,4.7,709
32.79,1.21,2.06,1.58,279.58,4.56,710
34.56,1.52,2.05,1.62,352.85,4.41,711
35.33,1.29,1.58,1.47,353.22,4.48,712
33.93,1.5,2.23,1.59,353.1,4.27,713
32.53,1.23,1.76,1.43,353.44,4.29,714
35.28,1.6,2.39,1.3,353.29,4.22,715
34.26,1.33,2.73,1.44,353.33,4.47,716
34.37,1.42,2.44,1.68,352.88,4.35,717
35.63,1.41,2.74,1.45,352.89,4.58,718
33.43,1.56,3.72,1.28,352.93,4.34,719
35.2,1.43,2.58,1.56,353.07,4.39,720
32.99,1.27,2.85,1.26,353.03,4.61,721
33.88,1.49,2.55,1.27,353.07,4.39,722
33.32,1.43,2.09,1.47,352.97,4.23,723
34.44,1.56,2.45,1.48,355.92,4.45,724
34.56,1.83,2.6,1.5,353.33,4.79,725
34.68,1.81,2.92,1.03,353.04,4.55,726
35.09,1.51,2.95,1.03,353.07,4.68,727
35.69,1.55,2.39,1.32,352.88,4.24,728
35.45,1.85,2.87,1.46,353.29,4.64,729
34.59,1.24,2.81,1.11,353.18,4.6,730
35.09,1.67,2.75,1.38,353.05,4.37,731
33.59,1.4,2.88,1.2,353.07,4.48,732
35.26,1.12,3.19,1.3,352.92,4.49,733
29.69,1.84,2.89,1.28,353.08,4.36,734
35.39,1.15,2.81,1.43,353.23,4.59,735
35.02,1.59,3.04,1.44,353.06,4.44,736
34.83,1.04,2.61,1.21,353.2,4.6,737
34.4,1.58,2.7,1.18,353.16,4.38,738
34.72,1.48,2.5,1.13,251.83,3.82,739
34.57,1.63,2.24,1.16,257.96,4.69,740
34.73,1.39,2.13,1.5,203.92,4.26,741
34.18,1.35,2.26,1.37,252.94,3.72,742
35.62,1.78,2.12,1.17,255.02,3.7,743
