cpu_usage,memory_usage,gpu_usage,no_child,no_child_active,child_cpu,child_memory,execution_time
283,59,3.88,7,2,14,23,746
284,54,4.02,7,2,12,21,747
282,61,3.27,7,2,14,26,748
283,55,3.95,6,2,17,19,749
282,53,3.23,6,2,15,16,750
262,61,3.76,6,1,16,28,751
259,69,3.96,7,2,17,24,752
237,48,3.71,8,2,12,46,753
263,51,3.82,8,2,17,29,754
258,53,3.14,7,1,13,28,755
245,70,3.55,7,1,13,17,756
241,60,3.76,8,2,14,24,757
260,51,3.87,7,2,12,15,758
263,66,3.73,8,1,21,16,759
286,60,3.24,8,2,9,32,760
261,58,3.99,7,2,10,21,761
200,64,3.9,8,2,8,18,762
268,69,3.96,7,2,17,25,763
242,56,3.39,7,2,8,22,764
253,72,3.34,8,2,17,14,765
263,57,3.07,7,1,12,20,766
255,70,3.84,7,2,7,19,767
239,72,4.02,8,2,12,14,768
156,46,3.32,6,1,12,26,769
176,65,4.0,7,2,12,17,770
197,71,3.11,7,1,9,16,771
189,10,3.63,7,2,10,18,772
197,56,3.28,7,1,22,15,773
168,66,3.84,7,1,12,24,774
206,55,3.45,7,2,12,26,775
305,67,3.27,7,2,6,17,776
218,71,3.87,7,1,16,26,777
194,81,3.58,7,1,11,34,778
211,76,3.21,7,1,10,25,779
223,67,3.47,7,1,11,23,780
210,71,3.61,7,1,15,20,781
215,50,3.68,7,1,11,18,782
157,66,3.88,7,1,8,26,783
147,69,3.65,7,2,13,30,784
194,66,3.16,7,2,15,16,785
209,55,3.95,7,1,11,26,786
230,71,3.16,7,2,13,14,787
207,91,3.28,7,1,10,17,788
210,62,3.91,8,2,14,21,789
226,59,3.37,7,1,11,18,790
222,79,3.85,7,0,10,33,791
227,75,3.94,7,2,10,26,792
243,66,3.49,7,2,8,23,793
215,61,3.14,7,1,15,22,794
182,67,3.76,7,2,8,22,795
206,73,3.63,7,1,15,3,796
214,81,3.78,7,2,12,21,797
200,66,3.71,7,2,14,22,798
228,69,4.09,7,2,7,7,799
232,55,3.6,7,2,12,14,800
212,68,3.98,8,2,20,26,801
219,78,3.99,8,2,21,15,802
224,71,3.0,8,1,22,3,803
219,69,4.16,8,2,13,24,804
304,82,3.84,8,2,15,17,805
235,70,4.18,8,1,18,14,806
258,85,4.11,8,2,11,22,807
232,62,3.98,8,2,15,25,808
257,85,4.05,8,2,13,20,809
230,72,3.72,8,2,19,10,810
243,83,3.52,8,2,17,16,811
274,69,3.75,8,2,12,19,812
261,81,3.84,8,1,16,19,813
282,59,3.39,8,1,18,36,814
299,73,3.52,8,1,17,22,815
188,85,3.58,8,1,20,18,816
244,83,3.6,7,1,10,10,817
236,83,3.06,7,1,12,6,818
209,108,3.11,7,2,12,23,819
249,83,3.45,7,2,12,20,820
289,79,3.76,7,1,12,20,821
253,71,3.7,7,1,9,20,822
237,60,3.23,10,1,10,29,823
264,68,3.87,7,1,10,25,824
235,62,3.19,7,1,23,27,825
260,71,3.62,7,1,18,13,826
273,65,3.89,7,1,14,20,827
245,82,3.24,7,2,11,24,828
172,62,3.91,7,1,11,20,829
252,63,3.4,7,2,13,21,830
279,73,3.99,7,2,12,24,831
267,76,3.64,7,2,15,35,832
244,68,4.05,9,2,8,22,833
262,68,4.03,9,1,10,21,834
257,65,3.37,9,1,12,21,835
240,71,3.14,9,1,10,21,836
248,60,3.1,9,1,16,42,837
249,67,3.55,9,1,15,32,838
225,60,3.78,9,1,13,20,839
264,72,3.89,9,1,19,22,840
294,52,3.97,9,2,13,21,841
262,65,3.82,9,2,11,29,842
304,107,3.57,9,2,13,16,843
311,73,3.45,9,2,16,22,844
280,60,3.75,9,2,16,23,845
295,63,3.76,9,1,15,16,846
314,89,3.78,9,2,14,20,847
294,89,3.31,9,1,14,3,848
286,79,3.19,5,1,17,18,849
276,79,3.25,9,1,16,16,850
306,62,3.79,8,1,15,22,851
262,53,3.31,9,1,12,20,852
309,79,3.99,8,2,9,27,853
337,76,3.24,8,1,13,29,854
305,71,3.46,8,1,13,27,855
289,66,3.4,8,2,14,21,856
291,70,3.44,8,2,11,11,857
299,72,3.32,8,1,12,25,858
284,76,3.44,8,2,11,11,859
294,71,4.06,8,1,13,11,860
320,69,3.97,8,1,11,9,861
284,76,3.7,8,2,16,12,862
284,60,3.33,8,2,13,27,863
226,80,3.82,8,1,15,30,864
286,71,4.2,7,1,16,9,865
270,71,4.02,7,1,14,17,866
258,71,3.63,7,1,12,23,867
281,65,3.7,7,1,13,16,868
262,74,3.01,7,1,14,18,869
263,59,3.95,7,2,11,16,870
287,54,3.79,7,1,11,24,871
334,69,3.64,7,2,11,21,872
294,82,3.94,8,1,10,14,873
250,55,3.55,7,1,13,16,874
269,46,3.66,7,1,11,21,875
262,68,3.48,7,2,14,16,876
217,64,3.95,7,1,12,20,877
211,64,3.11,7,1,18,14,878
209,49,3.38,7,1,20,18,879
205,77,3.46,8,1,16,22,880
219,97,3.77,8,1,14,5,881
156,74,3.28,9,1,12,18,882
206,79,3.95,9,1,11,15,883
214,75,3.4,8,1,10,21,884
211,79,3.73,8,1,12,33,885
210,75,3.38,8,1,9,18,886
216,76,3.54,9,1,16,15,887
213,70,3.69,9,2,16,28,888
215,78,3.37,8,1,16,21,889
207,79,4.07,8,1,15,15,890
213,72,3.64,8,1,13,31,891
213,67,3.35,8,1,13,14,892
206,82,3.05,9,1,13,17,893
214,76,3.26,8,1,16,13,894
228,90,3.99,9,1,12,20,895
239,85,3.37,9,1,16,15,896
288,77,3.49,9,1,13,22,897
254,75,3.56,9,2,14,29,898
231,68,3.63,9,1,10,9,899
247,48,4.02,9,2,16,22,900
295,70,3.92,9,1,16,31,901
266,67,3.33,9,2,13,31,902
271,58,3.72,9,2,17,16,903
261,68,3.9,9,2,14,13,904
248,65,3.11,9,1,16,30,905
256,73,3.16,9,2,21,25,906
253,58,3.84,8,2,18,7,907
276,67,3.42,9,1,16,27,908
254,65,3.59,9,1,20,16,909
262,70,3.8,9,1,16,32,910
192,51,4.13,8,1,17,12,911
234,68,3.72,9,1,17,19,912
233,68,3.4,7,1,18,16,913
228,80,3.36,8,2,12,20,914
215,55,3.6,8,1,16,0,915
255,71,3.13,8,1,21,26,916
195,74,3.68,8,1,11,25,917
205,61,3.29,8,1,10,31,918
208,35,3.43,8,1,14,20,919
220,63,4.0,8,1,13,19,920
208,76,3.24,8,1,11,35,921
230,50,3.83,8,1,12,24,922
218,62,3.5,8,1,12,29,923
222,65,3.95,8,1,13,23,924
220,56,3.54,8,1,13,22,925
211,67,3.21,8,1,17,18,926
211,44,3.35,8,1,14,19,927
255,72,3.24,8,1,11,14,928
208,39,3.52,6,1,10,12,929
198,66,3.64,6,1,8,19,930
222,63,3.03,6,1,11,25,931
240,73,4.0,6,1,10,37,932
245,43,3.52,6,1,15,18,933
223,61,3.53,6,1,9,18,934
228,70,3.03,6,1,13,17,935
237,59,3.17,7,1,9,18,936
212,93,3.12,6,2,14,12,937
237,82,3.47,6,2,15,35,938
218,89,3.29,6,1,13,27,939
236,69,3.96,6,1,16,20,940
221,73,3.74,6,2,14,21,941
95,87,3.15,6,2,17,27,942
221,74,3.22,6,1,13,15,943
254,65,3.72,6,2,13,38,944
222,70,3.33,8,2,10,15,945
229,67,3.79,8,2,10,21,946
114,71,3.29,8,1,15,21,947
235,67,3.66,8,2,17,22,948
282,49,3.2,8,2,14,19,949
278,72,3.64,8,1,18,0,950
279,89,3.86,8,0,18,24,951
296,68,3.4,9,1,16,12,952
290,61,3.02,8,1,18,27,953
279,59,3.62,8,1,17,16,954
279,45,3.36,8,2,17,22,955
285,76,3.85,8,2,9,23,956
284,68,3.91,8,1,10,5,957
289,72,3.69,8,1,18,37,958
274,83,3.73,8,2,14,21,959
284,43,3.53,8,1,10,14,960
290,68,3.18,8,2,17,17,961
274,64,3.76,7,2,15,7,962
294,74,3.75,8,1,17,25,963
270,64,3.05,8,1,10,26,964
291,71,3.5,8,1,13,26,965
285,74,3.98,7,1,9,27,966
179,72,4.15,6,1,12,23,967
199,74,3.67,7,1,13,17,968
225,87,3.98,7,1,11,29,969
211,61,3.13,7,2,19,24,970
193,73,3.33,7,1,15,14,971
213,78,3.37,7,1,10,11,972
248,63,3.45,7,1,12,21,973
236,87,3.22,8,2,13,25,974
207,87,3.82,8,1,15,17,975
203,73,3.76,7,2,15,12,976
286,73,3.65,8,2,12,15,977
215,56,3.64,7,1,13,25,978
179,64,3.95,8,1,15,16,979
211,70,4.01,8,1,18,11,980
223,75,3.23,7,1,15,20,981
221,70,3.74,7,2,14,26,982
210,74,3.28,7,1,18,14,983
252,80,3.48,7,1,15,31,984
184,77,3.99,8,1,14,24,985
195,59,3.15,7,1,16,26,986
